cod_mun;codigo;digito;cidade;estado;latitude;longitude;altitude
1100015;110001;5;alta floresta d'oeste;ro;-11,9355403;-61,9998239;350
1100023;110002;3;ariquemes;ro;-9,908462867;-63,03326928;142
1100031;110003;1;cabixi;ro;-13,49976346;-60,54431358;230
1100049;110004;9;cacoal;ro;-11,43386503;-61,44294421;200
1100056;110005;6;cerejeiras;ro;-13,19503303;-60,81842616;277
1100064;110006;4;colorado do oeste;ro;-13,13056384;-60,55506746;460
1100072;110007;2;corumbiara;ro;-12,99752024;-60,94870117;340
1100080;110008;0;costa marques;ro;-12,43601388;-64,23165394;140
1100098;110009;8;espigao d'oeste;ro;-11,52855463;-61,02017311;270
1100106;110010;6;guajara-mirim;ro;-10,77388374;-65,32395182;128
1100114;110011;4;jaru;ro;-10,43594877;-62,47623071;124
1100122;110012;2;ji-parana;ro;-10,88205132;-61,94509458;170
1100130;110013;0;machadinho d'oeste;ro;-9,42556248;-61,99959257;102
1100148;110014;8;nova brasilandia d'oeste;ro;-11,72132541;-62,30823016;320
1100155;110015;5;ouro preto do oeste;ro;-10,7235739;-62,26105519;280
1100189;110018;9;pimenta bueno;ro;-11,67753699;-61,18366567;195
1100205;110020;5;porto velho;ro;-8,76889179;-63,83144565;85
1100254;110025;4;presidente medici;ro;-11,17320502;-61,90943868;185
1100262;110026;2;rio crespo;ro;-9,70553671;-62,90001037;0
1100288;110028;8;rolim de moura;ro;-11,72225891;-61,78578094;290
1100296;110029;6;santa luzia d'oeste;ro;-11,90842333;-61,77330546;260
1100304;110030;4;vilhena;ro;-12,74137347;-60,13858387;600
1100320;110032;0;sao miguel do guapore;ro;-11,69948974;-62,72006348;205
1100338;110033;8;nova mamore;ro;-10,41177129;-65,32914902;134
1100346;110034;6;alvorada d'oeste;ro;-11,34413002;-62,27727487;224
1100379;110037;9;alto alegre dos parecis;ro;-12,13177722;-61,85307717;405
1100403;110040;3;alto paraiso;ro;-9,716666738;-63,31762943;0
1100452;110045;2;buritis;ro;-10,20980541;-63,82967879;200
1100502;110050;2;novo horizonte do oeste;ro;-11,70974292;-61,99438766;0
1100601;110060;1;cacaulandia;ro;-10,33887284;-62,90318993;205
1100700;110070;0;campo novo de rondonia;ro;-10,56841647;-63,62499143;0
1100809;110080;9;candeias do jamari;ro;-8,785020703;-63,70002007;0
1100908;110090;8;castanheiras;ro;-11,42684223;-61,9491612;190
1100924;110092;4;chupinguaia;ro;-12,55684076;-60,90184775;360
1100940;110094;0;cujubim;ro;-9,378193399;-62,58717453;95
1101005;110100;5;governador jorge teixeira;ro;-10,61207177;-62,74045764;190
1101104;110110;4;itapua do oeste;ro;-9,191871675;-63,18233702;0
1101203;110120;3;ministro andreazza;ro;-11,19623798;-61,51892193;400
1101302;110130;2;mirante da serra;ro;-11,04560929;-62,6694271;230
1101401;110140;1;monte negro;ro;-10,26309776;-63,29555917;0
1101435;110143;5;nova uniao;ro;-10,91553204;-62,5550894;250
1101450;110145;0;parecis;ro;-12,17982705;-61,59799797;355
1101468;110146;8;pimenteiras do oeste;ro;-13,476562;-61,044379;185
1101476;110147;6;primavera de rondonia;ro;-11,82570695;-61,31654624;210
1101484;110148;4;sao felipe d'oeste;ro;-11,91438935;-61,51250811;290
1101492;110149;2;sao francisco do guapore;ro;-12,06379841;-63,57086471;185
1101500;110150;0;seringueiras;ro;-11,76711664;-63,038761;0
1101559;110155;9;teixeiropolis;ro;-10,93216929;-62,25592225;260
1101609;110160;9;theobroma;ro;-10,24873055;-62,34514553;205
1101708;110170;8;urupa;ro;-11,12854528;-62,37063245;200
1101757;110175;7;vale do anari;ro;-9,851392708;-62,17682344;140
1101807;110180;7;vale do paraiso;ro;-10,43105268;-62,13439036;204
1200013;120001;3;acrelandia;ac;-10,07379389;-67,05231658;25
1200054;120005;4;assis brasil;ac;-10,94286568;-69,56345917;239
1200104;120010;4;brasileia;ac;-11,01641102;-68,74794343;172
1200138;120013;8;bujari;ac;-9,820019627;-67,95185928;50
1200179;120017;9;capixaba;ac;-10,56976771;-67,67350797;40
1200203;120020;3;cruzeiro do sul;ac;-7,630690005;-72,67253132;182
1200252;120025;2;epitaciolandia;ac;-11,02823983;-68,74486807;0
1200302;120030;2;feijo;ac;-8,16024753;-70,35398361;153
1200328;120032;8;jordao;ac;-9,19335786;-71,95087512;278
1200336;120033;6;mancio lima;ac;-7,593222594;-72,91650103;195
1200344;120034;4;manoel urbano;ac;-8,836317737;-69,25994458;162
1200351;120035;1;marechal thaumaturgo;ac;-8,953591123;-72,79026591;190
1200385;120038;5;placido de castro;ac;-10,33513328;-67,18826009;136
1200393;120039;3;porto walter;ac;-8,266666363;-72,74233396;195
1200401;120040;1;rio branco;ac;-9,978298753;-67,8105287;153
1200427;120042;7;rodrigues alves;ac;-7,733602034;-72,64785491;0
1200435;120043;5;santa rosa do purus;ac;-9,443406537;-70,48649689;25
1200450;120045;0;senador guiomard;ac;-10,14817359;-67,74317236;201
1200500;120050;0;sena madureira;ac;-9,065339505;-68,65568406;150
1200609;120060;9;tarauaca;ac;-8,155668592;-70,75550106;168
1200708;120070;8;xapuri;ac;-10,65207194;-68,50629481;150
1200807;120080;7;porto acre;ac;-9,600858231;-67,54059008;145
1300029;130002;9;alvaraes;am;-3,216583769;-64,81353468;75
1300060;130006;0;amatura;am;-3,366805188;-68,20961464;58
1300086;130008;6;anama;am;-3,576370427;-61,40590348;28
1300102;130010;2;anori;am;-3,745385586;-61,65895538;120
1300144;130014;4;apui;am;-7,197870152;-59,8856661;135
1300201;130020;1;atalaia do norte;am;-4,36615749;-70,18798928;65
1300300;130030;0;autazes;am;-3,578663642;-59,13356709;36
1300409;130040;9;barcelos;am;-0,972801053;-62,92566966;47
1300508;130050;8;barreirinha;am;-2,798149837;-57,06775049;19
1300607;130060;7;benjamin constant;am;-4,374989019;-70,02734843;65
1300631;130063;1;beruri;am;-3,89451341;-61,37157089;35
1300680;130068;0;boa vista do ramos;am;-2,971726532;-57,58770735;32
1300706;130070;6;boca do acre;am;-8,751243196;-67,39957776;116
1300805;130080;5;borba;am;-4,390619891;-59,59455902;45
1300839;130083;9;caapiranga;am;-3,330093392;-61,21133413;32
1300904;130090;4;canutama;am;-6,529106076;-64,39423082;55
1301001;130100;1;carauari;am;-4,881665904;-66,89663528;87
1301100;130110;0;careiro;am;-3,82244727;-60,36380984;27
1301159;130115;9;careiro da varzea;am;-3,197396595;-59,82631406;25
1301209;130120;9;coari;am;-4,084219159;-63,14218398;10
1301308;130130;8;codajas;am;-3,843045933;-62,06342966;47
1301407;130140;7;eirunepe;am;-6,667352567;-69,86629026;124
1301506;130150;6;envira;am;-7,439817544;-70,03041254;135
1301605;130160;5;fonte boa;am;-2,512270685;-66,09650299;62
1301654;130165;4;guajara;am;-7,547774415;-72,58243054;0
1301704;130170;4;humaita;am;-7,512224951;-63,02669802;58
1301803;130180;3;ipixuna;am;-7,050980114;-71,69441806;190
1301852;130185;2;iranduba;am;-3,281053878;-60,19338817;60
1301902;130190;2;itacoatiara;am;-3,140378804;-58,44017544;26
1301951;130195;1;itamarati;am;-6,437799349;-68,24791744;60
1302009;130200;9;itapiranga;am;-2,741842752;-58,03454588;43
1302108;130210;8;japura;am;-1,880844859;-66,99690349;50
1302207;130220;7;jurua;am;-3,474889599;-66,06304193;55
1302306;130230;6;jutai;am;-2,744646447;-66,77132755;48
1302405;130240;5;labrea;am;-7,261946553;-64,79477303;75
1302504;130250;4;manacapuru;am;-3,298278035;-60,62058945;60
1302553;130255;3;manaquiri;am;-3,429079669;-60,45888131;48
1302603;130260;3;manaus;am;-3,134691491;-60,02333518;92
1302702;130270;2;manicore;am;-5,813205261;-61,29924841;45
1302801;130280;1;maraa;am;-1,866436877;-65,5742837;50
1302900;130290;0;maues;am;-3,386427926;-57,71503439;25
1303007;130300;7;nhamunda;am;-2,188983767;-56,71676991;25
1303106;130310;6;nova olinda do norte;am;-3,887592832;-59,09307403;32
1303205;130320;5;novo airao;am;-2,623432459;-60,94881071;45
1303304;130330;4;novo aripuana;am;-5,122669314;-60,37704567;20
1303403;130340;3;parintins;am;-2,627052586;-56,73629215;27
1303502;130350;2;pauini;am;-7,714043644;-67,00209749;101
1303536;130353;6;presidente figueiredo;am;-2,058429085;-60,02564683;122
1303569;130356;9;rio preto da eva;am;-2,693301542;-59,70473809;47
1303601;130360;1;santa isabel do rio negro;am;-0,416694832;-65,02002264;60
1303700;130370;0;santo antonio do ica;am;-3,107486309;-67,94648514;91
1303809;130380;9;sao gabriel da cachoeira;am;-0,136462788;-67,0836429;132
1303908;130390;8;sao paulo de olivenca;am;-3,466509623;-68,94485349;102
1303957;130395;7;sao sebastiao do uatuma;am;-2,57015258;-57,87034636;24
1304005;130400;5;silves;am;-2,83642743;-58,21480086;46
1304062;130406;2;tabatinga;am;-4,231883676;-69,94624438;60
1304104;130410;4;tapaua;am;-5,624223518;-63,18709487;54
1304203;130420;3;tefe;am;-3,348372494;-64,70841966;75
1304237;130423;7;tonantins;am;-2,86109125;-67,77648228;55
1304260;130426;0;uarini;am;-2,983609243;-65,15534564;60
1304302;130430;2;urucara;am;-2,536611672;-57,75982817;26
1304401;130440;1;urucurituba;am;-3,134633116;-58,15964104;40
1400027;140002;7;amajari;rr;3,652118445;-61,42059017;100
1400050;140005;0;alto alegre;rr;2,993822948;-61,31402239;72
1400100;140010;0;boa vista;rr;2,816681919;-60,67053267;85
1400159;140015;9;bonfim;rr;3,350288619;-59,87800663;92
1400175;140017;5;canta;rr;2,607666398;-60,60206285;100
1400209;140020;9;caracarai;rr;1,803871247;-61,14917687;52
1400233;140023;3;caroebe;rr;0,872674507;-59,69481007;135
1400282;140028;2;iracema;rr;2,168214765;-61,05225859;80
1400308;140030;8;mucajai;rr;2,479772235;-60,91151853;70
1400407;140040;7;normandia;rr;3,882978285;-59,63520628;100
1400456;140045;6;pacaraima;rr;4,47525934;-61,14730635;920
1400472;140047;2;rorainopolis;rr;0,937195394;-60,42506049;98
1400506;140050;6;sao joao da baliza;rr;0,947157427;-59,90604435;255
1400605;140060;5;sao luiz;rr;1,018111627;-60,02826677;52
1400704;140070;4;uiramuta;rr;4,585440388;-60,19571615;0
1500107;150010;7;abaetetuba;pa;-1,723469863;-48,88440382;10
1500131;150013;1;abel figueiredo;pa;-4,951390896;-48,39676213;0
1500206;150020;6;acara;pa;-1,9634365;-48,20045643;25
1500305;150030;5;afua;pa;-0,159171694;-50,39142759;8
1500347;150034;7;agua azul do norte;pa;-6,804948867;-50,48527451;0
1500404;150040;4;alenquer;pa;-1,951397505;-54,74086235;52
1500503;150050;3;almeirim;pa;-1,527338803;-52,57683509;65
1500602;150060;2;altamira;pa;-3,20565951;-52,21437631;109
1500701;150070;1;anajas;pa;-0,984451394;-49,94500104;10
1500800;150080;0;ananindeua;pa;-1,368713568;-48,37206665;17
1500859;150085;9;anapu;pa;-3,476104635;-51,2016218;96
1500909;150090;9;augusto correa;pa;-1,02292101;-46,64164579;20
1500958;150095;8;aurora do para;pa;-2,129376013;-47,5561746;50
1501006;150100;6;aveiro;pa;-3,605595259;-55,33073439;28
1501105;150110;5;bagre;pa;-1,88980806;-50,22198692;31
1501204;150120;4;baiao;pa;-2,791961861;-49,67275337;30
1501253;150125;3;bannach;pa;-7,351072192;-50,40604712;420
1501303;150130;3;barcarena;pa;-1,505767005;-48,62707289;15
1501402;150140;2;belem;pa;-1,459845;-48,48782569;10
1501451;150145;1;belterra;pa;-2,649020169;-54,94267474;152
1501501;150150;1;benevides;pa;-1,361437515;-48,24183645;28
1501576;150157;6;bom jesus do tocantins;pa;-5,047362704;-48,59903996;175
1501600;150160;0;bonito;pa;-1,367474357;-47,30589182;49
1501709;150170;9;braganca;pa;-1,053523956;-46,76575421;19
1501725;150172;5;brasil novo;pa;-3,297803704;-52,54344119;0
1501758;150175;8;brejo grande do araguaia;pa;-5,707296154;-48,40576042;110
1501782;150178;2;breu branco;pa;-3,778135413;-49,56987968;0
1501808;150180;8;breves;pa;-1,6907365;-50,4808948;40
1501907;150190;7;bujaru;pa;-1,513991462;-48,03587501;10
1501956;150195;6;cachoeira do piria;pa;-1,752897005;-46,54739142;0
1502004;150200;4;cachoeira do arari;pa;-1,008786266;-48,96066758;20
1502103;150210;3;cameta;pa;-2,24683848;-49,49783017;150
1502152;150215;2;canaa dos carajas;pa;-6,532196616;-49,84895843;210
1502202;150220;2;capanema;pa;-1,192441995;-47,17512612;24
1502301;150230;1;capitao poco;pa;-1,746187293;-47,06282538;73
1502400;150240;0;castanhal;pa;-1,295756805;-47,92664314;41
1502509;150250;9;chaves;pa;-0,16243729;-49,98931861;6
1502608;150260;8;colares;pa;-0,932091244;-48,28872843;15
1502707;150270;7;conceicao do araguaia;pa;-8,26486353;-49,26450081;165
1502756;150275;6;concordia do para;pa;-1,984521463;-47,94988694;440
1502764;150276;4;cumaru do norte;pa;-7,811106537;-50,77157838;299
1502772;150277;2;curionopolis;pa;-6,096819952;-49,60221422;180
1502806;150280;6;curralinho;pa;-1,80942342;-49,79152285;15
1502855;150285;5;curua;pa;-1,889928704;-55,11967861;0
1502905;150290;5;curuca;pa;-0,73249551;-47,85126509;37
1502939;150293;9;dom eliseu;pa;-4,29077772;-47,55591489;180
1502954;150295;4;eldorado dos carajas;pa;-6,103525161;-49,37395194;140
1503002;150300;2;faro;pa;-2,172975242;-56,74575302;31
1503044;150304;4;floresta do araguaia;pa;-7,558700872;-49,69757841;190
1503077;150307;7;garrafao do norte;pa;-1,931697043;-47,04504602;56
1503093;150309;3;goianesia do para;pa;-3,842468;-49,10104492;103
1503101;150310;1;gurupa;pa;-1,404918;-51,64369572;20
1503200;150320;0;igarape-acu;pa;-1,124322;-47,62237549;50
1503309;150330;9;igarape-miri;pa;-1,983116;-48,96229947;17
1503408;150340;8;inhangapi;pa;-1,426581981;-47,91339275;35
1503457;150345;7;ipixuna do para;pa;-2,5575285;-47,49971759;50
1503507;150350;7;irituia;pa;-1,771474995;-47,44075561;25
1503606;150360;6;itaituba;pa;-4,26372948;-55,99004886;15
1503705;150370;5;itupiranga;pa;-5,128837026;-49,32442586;89
1503754;150375;4;jacareacanga;pa;-6,223551731;-57,76633986;70
1503804;150380;4;jacunda;pa;-4,448405475;-49,11278156;108
1503903;150390;3;juruti;pa;-2,155252995;-56,09499769;36
1504000;150400;0;limoeiro do ajuru;pa;-1,8919485;-49,3815339;28
1504059;150405;9;mae do rio;pa;-2,047707441;-47,55229018;25
1504109;150410;9;magalhaes barata;pa;-0,795850156;-47,5991819;50
1504208;150420;8;maraba;pa;-5,352605763;-49,14202533;84
1504307;150430;7;maracana;pa;-0,76241946;-47,45526796;45
1504406;150440;6;marapanim;pa;-0,712150996;-47,70254875;40
1504422;150442;2;marituba;pa;-1,346417266;-48,34053588;18
1504455;150445;5;medicilandia;pa;-3,445417412;-52,88834535;151
1504505;150450;5;melgaco;pa;-1,803446699;-50,7174647;12
1504604;150460;4;mocajuba;pa;-2,582872973;-49,50902346;30
1504703;150470;3;moju;pa;-1,885889;-48,76719913;16
1504752;150475;2;mojui dos campos;pa;-2,68472222;-54,64305556;84
1504802;150480;2;monte alegre;pa;-2,003328;-54,07337473;38
1504901;150490;1;muana;pa;-1,530026208;-49,21683244;22
1504950;150495;0;nova esperanca do piria;pa;-2,267625989;-46,96209288;0
1504976;150497;6;nova ipixuna;pa;-4,923086307;-49,07988694;118
1505007;150500;7;nova timboteua;pa;-1,204143647;-47,39320228;51
1505031;150503;1;novo progresso;pa;-7,034835913;-55,41987012;240
1505064;150506;4;novo repartimento;pa;-4,2481485;-49,94863824;0
1505106;150510;6;obidos;pa;-1,909235496;-55,51632351;45
1505205;150520;5;oeiras do para;pa;-2,004734;-49,85510611;2
1505304;150530;4;oriximina;pa;-1,7637535;-55,86279952;46
1505403;150540;3;ourem;pa;-1,548947142;-47,11761936;40
1505437;150543;7;ourilandia do norte;pa;-6,740617086;-51,09083277;280
1505486;150548;6;pacaja;pa;-3,830305704;-50,63484083;105
1505494;150549;4;palestina do para;pa;-5,749934106;-48,32179373;0
1505502;150550;2;paragominas;pa;-2,9941905;-47,35696156;90
1505536;150553;6;parauapebas;pa;-6,072729888;-49,90078063;18
1505551;150555;1;pau d'arco;pa;-7,836794404;-50,04827553;0
1505601;150560;1;peixe-boi;pa;-1,189569241;-47,31792702;34
1505635;150563;5;picarra;pa;-6,453676235;-48,86840067;215
1505650;150565;0;placas;pa;-3,867315562;-54,21696813;95
1505700;150570;0;ponta de pedras;pa;-1,396599998;-48,87178556;10
1505809;150580;9;portel;pa;-1,936451;-50,82249044;19
1505908;150590;8;porto de moz;pa;-1,746090089;-52,24247692;15
1506005;150600;5;prainha;pa;-1,8056945;-53,48181394;70
1506104;150610;4;primavera;pa;-0,940111516;-47,11725126;48
1506112;150611;2;quatipuru;pa;-0,900115854;-47,00678699;29
1506138;150613;8;redencao;pa;-8,0276045;-50,02964183;227
1506161;150616;1;rio maria;pa;-7,311115245;-50,04641088;205
1506187;150618;7;rondon do para;pa;-4,777821727;-48,06997375;195
1506195;150619;5;ruropolis;pa;-4,09906539;-54,90586226;170
1506203;150620;3;salinopolis;pa;-0,623638;-47,35312026;21
1506302;150630;2;salvaterra;pa;-0,754525974;-48,5131866;5
